Sheet: Q1 2021
Home Builder,,Sample Surveyed,Percentage
Persimmon Homes,,7277,0.905
Redrow Homes,,2480,0.902
Riverdale Developments,,,
Rose Builders,,44,0.976
St Modwen,,625,0.921
Stewart Milne,,281,0.907
Stonebond Properties,,55,0.906
Story Homes,,559,0.939
Strata Homes,,217,0.847
Taylor Wimpey,,5752,0.893
Thakeham Homes,,55,0.836
Tilia Homes,,487,0.782
Vistry Homes,,5484,0.913
William Davis,,116,0.897

Sheet: Q3 2023
,,,
Q3 2023,,,
Home Builder,,Sample Surveyed,Percentage
A & J Stephen,,31,0.833
Allison Homes Ltd,,110,0.908
Avant Homes,,912,0.79
Barratt Developments,,8205,0.931
Beal Developments,,115,0.946
Bellway Homes,,5087,0.911
Bloor Homes,,1757,0.96
Burrington Estates,,36,0.722
CALA Homes,,1326,0.937
Cameron Homes,,77,0.974
Campion Homes,,,
Castle Green Homes,,119,0.891
Cavanna Homes,,84,0.893
Churchill Retirement Living,,236,0.899
Crest Nicholson,,1022,0.865
Croudace Homes,,186,0.903
Cruden Homes,,81,0.81
Dandara Homes,,451,0.947
Davidsons Developments,,417,0.925
Denbury Homes,,58,0.895
Durkan,,20,1
Eccleston Homes,,41,0.683
Galliers Homes,,,
Gentoo,,135,0.746
Greensquare Homes,,,
Hayfield Homes,,71,0.944
Hill,,258,0.977
Hopkins Homes,,269,0.918
Jones Homes,,168,0.933
Kebbell Development,,,
Keepmoat,,1667,0.907
Kingswood Homes,,68,0.985
Lagan Homes,,109,0.936
Lioncourt Homes,,91,0.92
Lovell,,573,0.833
M F Freeman,,27,0.92
Malcolm Allan Housebuilders,,15,0.933
McCarthy & Stone,,471,0.954
Miller Homes,,2093,0.909
Morris Homes,,376,0.941
Norfolk Homes,,38,0.973
Orbit Homes,,96,0.895
Persimmon Homes,,6749,0.918
Redrow Homes,,2588,0.911
Riverdale Developments,,,
Rose Builders,,47,0.978
St Modwen,,622,0.935
Stewart Milne,,292,0.91
Stonebond Properties,,58,0.875
Story Homes,,544,0.941
Strata Homes,,214,0.844
Taylor Wimpey,,5713,0.904
Thakeham Homes,,43,0.857
Tilia Homes,,422,0.807
Vistry Homes,,4852,0.911
William Davis,,108,0.907

Sheet: Q4 2023
Home Builder,,Sample Surveyed,Percentage
A & J Stephen,,30,0.862
Allison Homes Limited,,118,0.889
Amethyst,,23,0.957
Avant Homes,,856,0.831
Barratt Developments,,7762,0.936
Beal Developments,,101,0.949
Bellway Homes,,5027,0.916
Bloor Homes,,1682,0.965
CALA Homes,,1260,0.932
Cameron Homes,,79,0.962
Castle Green Homes,,132,0.886
Cavanna Homes,,87,0.943
Churchill Retirement Living,,243,0.901
Crest Nicholson,,965,0.873
Croudace Homes,,192,0.911
Cruden Homes,,70,0.824
Dandara Homes,,434,0.954
Davidsons Developments,,384,0.924
Denbury Homes Ltd,,67,0.91
Durkan,,31,0.944
Hayfield Homes,,57,0.947
Hill,,254,0.964
Hopkins Homes,,249,0.912
Jones Homes,,155,0.927
Keepmoat,,1519,0.91
Kingswood Homes,,62,0.968
Lagan Homes,,102,0.951
Lioncourt Homes,,94,0.946
Lovell,,535,0.842
McCarthy & Stone,,460,0.94
M F Freeman,,34,0.938
Miller Homes,,2062,0.92
Morris Homes,,324,0.938
Norfolk Homes,,42,0.975
Orbit Homes,,95,0.936
Persimmon Homes,,6465,0.929
Prospect,,30,0.875
Redrow Homes,,2261,0.91
Rose Builders,,46,0.978
St Modwen,,573,0.951
Stonebond Properties,,44,0.884
Story Homes,,553,0.946
Strata Homes,,199,0.853
Taylor Wimpey,,5377,0.92
Thakeham Homes,,44,0.9
Tilia Homes,,412,0.841
Vistry Homes,,4064,0.916
Wainhomes,,495,0.915
William Davis,,97,0.928

Sheet: Q1 2024
Home Builder,,Sample Surveyed,Percentage
A & J Stephen,,41,0.846
Allison Homes Ltd,,241,0.908
Amethyst Homes,,21,0.905
Avant Homes,,1202,0.876
Barratt Developments,,10508,0.946
Beal Developments,,147,0.964
Bellway Homes,,6974,0.925
Bloor Homes,,2364,0.974
CALA Homes,,2231,0.949
Cameron Homes,,164,0.947
Castle Green Homes,,146,0.911
Cavanna Homes,,97,0.975
Churchill Retirement Living,,387,0.923
Crest Nicholson,,1158,0.909
Croudace Homes,,286,0.924
Cruden Homes,,76,0.886
Dandara Homes,,614,0.962
Davidsons Developments,,470,0.949
Denbury Homes,,85,0.915
Durkan,,66,0.897
Hayfield Homes,,73,0.923
Hill,,497,0.97
Hopkins Homes,,340,0.925
Jones Homes,,207,0.932
Keepmoat,,2068,0.929
Kingswood Homes,,66,0.939
Lagan Homes,,187,0.972
Lioncourt Homes,,122,0.935
Lovell,,760,0.907
M F Freeman,,40,0.964
McCarthy & Stone,,972,0.942
Miller Homes,,2505,0.938
Morris Homes,,376,0.952
Norfolk Homes,,88,0.972
Orbit Homes,,123,0.973
Persimmon Homes,,7599,0.95
Prospect (GB) Ltd,,33,0.889
Redrow Homes,,3486,0.927
Rose Builders,,54,0.975
St Modwen,,608,0.97
Stonebond Properties,,43,0.931
Story Homes,,765,0.95
Strata Homes,,343,0.88
Taylor Wimpey,,7897,0.942
Thakeham Homes,,79,0.929
Tilia Homes,,494,0.886
Vistry Homes,,4931,0.935
Wainhomes,,748,0.91
William Davis,,240,0.905

Sheet: Q2 2024
Home Builder,,Sample Surveyed,Percentage
A & J Stephen,,31,0.889
Allison Homes Ltd,,233,0.911
Amethyst Homes,,35,1
Avant Homes,,1137,0.903
Barratt Developments,,10183,0.951
Beal Developments,,141,0.952
Bellway Homes,,6729,0.934
Bloor Homes,,2416,0.976
CALA Homes,,2169,0.949
Cameron Homes,,174,0.921
Castle Green Homes,,115,0.955
Cavanna Homes,,97,0.961
Churchill Retirement Living,,390,0.929
Crest Nicholson,,1068,0.922
Croudace Homes,,278,0.952
Cruden Homes,,49,0.968
Dandara Homes,,664,0.974
Davidsons Developments,,452,0.956
Denbury Homes,,80,0.95
Durkan,,93,0.886
Hayfield Homes,,91,0.938
Hill,,568,0.954
Hopkins Homes,,342,0.948
Jones Homes,,202,0.931
Keepmoat,,1785,0.937
Kingswood Homes,,52,0.927
Lagan Homes,,194,0.948
Lioncourt Homes,,104,0.974
Lovell,,767,0.919
